dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
misogynistic,llama,llm_only,50,,0.138833,0.0,0.138833,0.0,300,300,prevalence
misogynistic,llama,expert_only,50,70.0,0.136703,0.007889,0.004088,0.007889,300,300,prevalence
misogynistic,llama,expert_only,50,97.0,0.13433,0.007696,0.016659,0.007696,300,300,prevalence
misogynistic,llama,expert_only,50,136.0,0.140427,0.008088,-0.009821,0.008088,300,300,prevalence
misogynistic,llama,expert_only,50,189.0,0.145086,0.008376,-0.00193,0.008376,300,300,prevalence
misogynistic,llama,expert_only,50,264.0,0.148333,0.00854,0.011042,0.00854,300,300,prevalence
misogynistic,llama,expert_only,50,368.0,0.127413,0.007339,-0.008617,0.007339,300,300,prevalence
misogynistic,llama,expert_only,50,513.0,0.133781,0.007724,0.001146,0.007724,300,300,prevalence
misogynistic,llama,expert_only,50,715.0,0.145508,0.008399,0.003286,0.008399,300,300,prevalence
misogynistic,llama,expert_only,50,997.0,0.133571,0.007649,-0.017042,0.007649,300,300,prevalence
misogynistic,llama,dsl,50,70.0,0.128271,0.007405,0.001337,0.007405,300,300,prevalence
misogynistic,llama,dsl,50,97.0,0.118518,0.006807,0.012094,0.006807,300,300,prevalence
misogynistic,llama,dsl,50,136.0,0.119469,0.006898,-1.3e-05,0.006898,300,300,prevalence
misogynistic,llama,dsl,50,189.0,0.119332,0.006889,-0.001469,0.006889,300,300,prevalence
misogynistic,llama,dsl,50,264.0,0.110431,0.006372,0.003837,0.006372,300,300,prevalence
misogynistic,llama,dsl,50,368.0,0.100788,0.005816,-0.003467,0.005816,300,300,prevalence
misogynistic,llama,dsl,50,513.0,0.096153,0.005549,-0.002733,0.005549,300,300,prevalence
misogynistic,llama,dsl,50,715.0,0.107437,0.006202,-0.001337,0.006202,300,300,prevalence
misogynistic,llama,dsl,50,997.0,0.107825,0.006218,-0.005344,0.006218,300,300,prevalence
misogynistic,llama,ppi,50,70.0,0.129269,0.007462,0.002194,0.007462,300,300,prevalence
misogynistic,llama,ppi,50,97.0,0.119936,0.006873,0.014608,0.006873,300,300,prevalence
misogynistic,llama,ppi,50,136.0,0.119515,0.0069,0.001355,0.0069,300,300,prevalence
misogynistic,llama,ppi,50,189.0,0.120958,0.006983,0.001007,0.006983,300,300,prevalence
misogynistic,llama,ppi,50,264.0,0.110957,0.006394,0.006738,0.006394,300,300,prevalence
misogynistic,llama,ppi,50,368.0,0.100767,0.005817,-0.001422,0.005817,300,300,prevalence
misogynistic,llama,ppi,50,513.0,0.09691,0.005594,0.001459,0.005594,300,300,prevalence
misogynistic,llama,ppi,50,715.0,0.107343,0.006197,0.001094,0.006197,300,300,prevalence
misogynistic,llama,ppi,50,997.0,0.107029,0.006177,-0.002725,0.006177,300,300,prevalence
misogynistic,llama,ppipp,50,70.0,0.130211,0.007516,0.002851,0.007516,300,300,prevalence
misogynistic,llama,ppipp,50,97.0,0.122258,0.007004,0.015225,0.007004,300,300,prevalence
misogynistic,llama,ppipp,50,136.0,0.124448,0.00718,-0.004703,0.00718,300,300,prevalence
misogynistic,llama,ppipp,50,189.0,0.126352,0.007295,-0.000789,0.007295,300,300,prevalence
misogynistic,llama,ppipp,50,264.0,0.122766,0.007073,0.007959,0.007073,300,300,prevalence
misogynistic,llama,ppipp,50,368.0,0.107382,0.006191,-0.00565,0.006191,300,300,prevalence
misogynistic,llama,ppipp,50,513.0,0.107287,0.006194,0.000472,0.006194,300,300,prevalence
misogynistic,llama,ppipp,50,715.0,0.118432,0.006837,0.00134,0.006837,300,300,prevalence
misogynistic,llama,ppipp,50,997.0,0.112776,0.006484,-0.010235,0.006484,300,300,prevalence
