dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,,0.902313,0.0,-0.902313,0.0,0.968655,0.0,300,300,low_variance
misogynistic,deepseek,expert_only,20.0,3.872535,0.208359,1.404446,0.208359,4.030514,0.16997,300,300,low_variance
misogynistic,deepseek,expert_only,26.0,3.423577,0.174005,1.624046,0.174005,3.540144,0.14852,300,300,low_variance
misogynistic,deepseek,expert_only,33.0,2.458747,0.131478,0.927089,0.131478,2.565006,0.112257,300,300,low_variance
misogynistic,deepseek,expert_only,43.0,2.233373,0.115977,0.976108,0.115977,2.333194,0.099348,300,300,low_variance
misogynistic,deepseek,expert_only,56.0,1.725847,0.091797,0.67123,0.091797,1.787267,0.072461,300,300,low_variance
misogynistic,deepseek,expert_only,72.0,1.866855,0.095329,0.871118,0.095329,1.933715,0.082677,300,300,low_variance
misogynistic,deepseek,expert_only,93.0,1.320609,0.068936,0.564246,0.068936,1.365543,0.05562,300,300,low_variance
misogynistic,deepseek,expert_only,120.0,0.974134,0.052562,0.346559,0.052562,1.016243,0.039435,300,300,low_variance
misogynistic,deepseek,expert_only,155.0,0.852777,0.046327,0.288721,0.046327,0.888692,0.032943,300,300,low_variance
misogynistic,deepseek,expert_only,200.0,0.651309,0.035413,0.219035,0.035413,0.680101,0.023669,300,300,low_variance
misogynistic,deepseek,dsl,20.0,0.792181,0.032296,-0.560932,0.032296,0.956505,0.022349,300,300,low_variance
misogynistic,deepseek,dsl,26.0,0.713296,0.028281,-0.518508,0.028281,0.834068,0.018161,300,300,low_variance
misogynistic,deepseek,dsl,33.0,0.655794,0.022171,-0.531604,0.022171,0.736414,0.015704,300,300,low_variance
misogynistic,deepseek,dsl,43.0,0.639195,0.01921,-0.545771,0.01921,0.700604,0.013027,300,300,low_variance
misogynistic,deepseek,dsl,56.0,0.651533,0.019318,-0.55905,0.019318,0.694362,0.014052,300,300,low_variance
misogynistic,deepseek,dsl,72.0,0.574201,0.018058,-0.481541,0.018058,0.612006,0.013465,300,300,low_variance
misogynistic,deepseek,dsl,93.0,0.566762,0.01595,-0.494871,0.01595,0.598772,0.012861,300,300,low_variance
misogynistic,deepseek,dsl,120.0,0.563275,0.014316,-0.505764,0.014316,0.587789,0.012619,300,300,low_variance
misogynistic,deepseek,dsl,155.0,0.549537,0.011923,-0.509259,0.011923,0.568974,0.011428,300,300,low_variance
misogynistic,deepseek,dsl,200.0,0.542017,0.010583,-0.510081,0.010583,0.556816,0.010148,300,300,low_variance
misogynistic,deepseek,ppi,20.0,13.297005,0.749501,2.87833,0.749501,13.825458,0.757923,300,300,low_variance
misogynistic,deepseek,ppi,26.0,11.893087,0.667466,2.791467,0.667466,12.325711,0.670662,300,300,low_variance
misogynistic,deepseek,ppi,33.0,7.81907,0.437641,1.918047,0.437641,8.084476,0.432307,300,300,low_variance
misogynistic,deepseek,ppi,43.0,5.841874,0.328708,1.308752,0.328708,6.032797,0.320028,300,300,low_variance
misogynistic,deepseek,ppi,56.0,5.33849,0.299389,1.26857,0.299389,5.491487,0.287041,300,300,low_variance
misogynistic,deepseek,ppi,72.0,5.494094,0.301328,1.716265,0.301328,5.666385,0.290403,300,300,low_variance
misogynistic,deepseek,ppi,93.0,4.117955,0.229044,1.104203,0.229044,4.235837,0.217014,300,300,low_variance
misogynistic,deepseek,ppi,120.0,3.081708,0.171761,0.803958,0.171761,3.160581,0.157071,300,300,low_variance
misogynistic,deepseek,ppi,155.0,2.274184,0.127018,0.576072,0.127018,2.336196,0.109972,300,300,low_variance
misogynistic,deepseek,ppi,200.0,1.554294,0.088058,0.299232,0.088058,1.586711,0.068776,300,300,low_variance
