dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
misogynistic,llama,llm_only,50,,0.245863,0.0,0.245863,0.0,300,300,low_variance
misogynistic,llama,expert_only,50,70.0,6.314885,0.349717,1.785249,0.349717,300,300,low_variance
misogynistic,llama,expert_only,50,97.0,6.867711,0.37258,2.349614,0.37258,300,300,low_variance
misogynistic,llama,expert_only,50,136.0,6.949912,0.372544,2.581571,0.372544,300,300,low_variance
misogynistic,llama,expert_only,50,189.0,6.401368,0.33663,2.642266,0.33663,300,300,low_variance
misogynistic,llama,expert_only,50,264.0,6.544918,0.348897,2.513409,0.348897,300,300,low_variance
misogynistic,llama,expert_only,50,368.0,6.80726,0.365913,2.484154,0.365913,300,300,low_variance
misogynistic,llama,expert_only,50,513.0,6.601096,0.356667,2.326193,0.356667,300,300,low_variance
misogynistic,llama,expert_only,50,715.0,5.906217,0.318827,2.094798,0.318827,300,300,low_variance
misogynistic,llama,expert_only,50,997.0,6.592097,0.356339,2.315699,0.356339,300,300,low_variance
misogynistic,llama,dsl,50,70.0,3.508159,0.195697,0.904402,0.195697,300,300,low_variance
misogynistic,llama,dsl,50,97.0,3.004083,0.166455,0.844014,0.166455,300,300,low_variance
misogynistic,llama,dsl,50,136.0,2.975519,0.168632,0.568046,0.168632,300,300,low_variance
misogynistic,llama,dsl,50,189.0,2.5564,0.143202,0.618996,0.143202,300,300,low_variance
misogynistic,llama,dsl,50,264.0,2.19601,0.125677,0.289911,0.125677,300,300,low_variance
misogynistic,llama,dsl,50,368.0,1.964919,0.113065,0.160633,0.113065,300,300,low_variance
misogynistic,llama,dsl,50,513.0,1.696454,0.097945,-0.00148,0.097945,300,300,low_variance
misogynistic,llama,dsl,50,715.0,1.619035,0.093305,0.097676,0.093305,300,300,low_variance
misogynistic,llama,dsl,50,997.0,1.644534,0.094931,-0.030103,0.094931,300,300,low_variance
misogynistic,llama,ppi,50,70.0,15.667391,0.875296,3.952754,0.875296,300,300,low_variance
misogynistic,llama,ppi,50,97.0,11.106693,0.611443,3.346616,0.611443,300,300,low_variance
misogynistic,llama,ppi,50,136.0,6.894474,0.38518,1.73919,0.38518,300,300,low_variance
misogynistic,llama,ppi,50,189.0,5.39231,0.296982,1.617857,0.296982,300,300,low_variance
misogynistic,llama,ppi,50,264.0,4.679272,0.263999,0.993476,0.263999,300,300,low_variance
misogynistic,llama,ppi,50,368.0,4.159743,0.235763,0.792608,0.235763,300,300,low_variance
misogynistic,llama,ppi,50,513.0,2.897382,0.164903,0.486761,0.164903,300,300,low_variance
misogynistic,llama,ppi,50,715.0,3.6551,0.20781,0.635828,0.20781,300,300,low_variance
misogynistic,llama,ppi,50,997.0,3.084497,0.175077,0.564364,0.175077,300,300,low_variance
misogynistic,llama,ppipp,50,70.0,4.065205,0.22591,1.102407,0.22591,300,300,low_variance
misogynistic,llama,ppipp,50,97.0,4.043996,0.220421,1.333528,0.220421,300,300,low_variance
misogynistic,llama,ppipp,50,136.0,3.794832,0.207592,1.21341,0.207592,300,300,low_variance
misogynistic,llama,ppipp,50,189.0,3.653207,0.195544,1.369201,0.195544,300,300,low_variance
misogynistic,llama,ppipp,50,264.0,3.509465,0.190893,1.176581,0.190893,300,300,low_variance
misogynistic,llama,ppipp,50,368.0,3.294469,0.182415,0.933258,0.182415,300,300,low_variance
misogynistic,llama,ppipp,50,513.0,3.195481,0.176665,0.920841,0.176665,300,300,low_variance
misogynistic,llama,ppipp,50,715.0,3.003929,0.165455,0.900523,0.165455,300,300,low_variance
misogynistic,llama,ppipp,50,997.0,2.989065,0.164685,0.893409,0.164685,300,300,low_variance
