dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,llama,llm_only,,0.04874,0.0,0.04874,0.0,0.163279,0.0,300,300,low_variance
cuad,llama,expert_only,20.0,1.474847,0.083822,0.259469,0.083822,1.714274,0.073298,300,300,low_variance
cuad,llama,expert_only,26.0,0.960841,0.054347,0.192684,0.054347,1.146163,0.040185,300,300,low_variance
cuad,llama,expert_only,33.0,0.786659,0.04399,0.195667,0.04399,0.948561,0.029259,300,300,low_variance
cuad,llama,expert_only,43.0,0.690019,0.039383,0.104021,0.039383,0.844128,0.026072,300,300,low_variance
cuad,llama,expert_only,56.0,0.565531,0.03186,0.123701,0.03186,0.690208,0.022537,300,300,low_variance
cuad,llama,expert_only,72.0,0.458462,0.026364,0.040831,0.026364,0.58063,0.016295,300,300,low_variance
cuad,llama,expert_only,93.0,0.391805,0.022458,0.046944,0.022458,0.482713,0.013789,300,300,low_variance
cuad,llama,expert_only,120.0,0.341349,0.019528,0.046033,0.019528,0.43519,0.012403,300,300,low_variance
cuad,llama,expert_only,155.0,0.312305,0.017677,0.061567,0.017677,0.384784,0.011382,300,300,low_variance
cuad,llama,expert_only,200.0,0.246653,0.014232,0.008479,0.014232,0.310417,0.008638,300,300,low_variance
cuad,llama,dsl,20.0,0.639624,0.035979,-0.144158,0.035979,0.880878,0.022664,300,300,low_variance
cuad,llama,dsl,26.0,0.517122,0.029855,-0.004831,0.029855,0.674318,0.017428,300,300,low_variance
cuad,llama,dsl,33.0,0.318982,0.017644,-0.09141,0.017644,0.414708,0.012179,300,300,low_variance
cuad,llama,dsl,43.0,0.289638,0.014371,-0.148102,0.014371,0.358375,0.009696,300,300,low_variance
cuad,llama,dsl,56.0,0.242198,0.011872,-0.127958,0.011872,0.29817,0.007962,300,300,low_variance
cuad,llama,dsl,72.0,0.224421,0.010804,-0.123876,0.010804,0.274748,0.007335,300,300,low_variance
cuad,llama,dsl,93.0,0.205437,0.008877,-0.136241,0.008877,0.245963,0.006719,300,300,low_variance
cuad,llama,dsl,120.0,0.175337,0.007165,-0.123859,0.007165,0.21819,0.005275,300,300,low_variance
cuad,llama,dsl,155.0,0.17268,0.00645,-0.131671,0.00645,0.2018,0.005024,300,300,low_variance
cuad,llama,dsl,200.0,0.168922,0.005999,-0.133183,0.005999,0.190123,0.004729,300,300,low_variance
cuad,llama,ppi,20.0,0.557702,0.032199,-0.001247,0.032199,0.716991,0.028128,300,300,low_variance
cuad,llama,ppi,26.0,0.412865,0.02379,-0.0258,0.02379,0.541049,0.018569,300,300,low_variance
cuad,llama,ppi,33.0,0.399741,0.023078,-0.0044,0.023078,0.503074,0.01724,300,300,low_variance
cuad,llama,ppi,43.0,0.312838,0.017843,-0.048581,0.017843,0.390521,0.011664,300,300,low_variance
cuad,llama,ppi,56.0,0.273953,0.01564,-0.040864,0.01564,0.345637,0.0105,300,300,low_variance
cuad,llama,ppi,72.0,0.246899,0.014202,-0.021216,0.014202,0.313073,0.008633,300,300,low_variance
cuad,llama,ppi,93.0,0.204709,0.011437,-0.051615,0.011437,0.265264,0.007137,300,300,low_variance
cuad,llama,ppi,120.0,0.175678,0.009887,-0.039188,0.009887,0.237677,0.006135,300,300,low_variance
cuad,llama,ppi,155.0,0.163797,0.008912,-0.054803,0.008912,0.211446,0.005749,300,300,low_variance
cuad,llama,ppi,200.0,0.151548,0.008305,-0.04768,0.008305,0.18887,0.005114,300,300,low_variance
